1d100<={SAN} 【正気度ロール】
CCB<=70 【アイデア】
CCB<={幸運} 【幸運】
CCB<=55 【知識】
CCB<=25 【目星】
CCB<=20 【聞き耳】
CCB<=20 【図書館】
CCB<=22 【回避】
CCB<=25 【近接戦闘】
CCB<=20 【投擲】
CCB<=0 【射撃】
CCB<=30 【応急手当】
CCB<=1 【鍵開け】
CCB<=10 【手さばき】
CCB<=20 【隠密】
CCB<=1 【精神分析】
CCB<=10 【追跡】
CCB<=20 【登攀】
CCB<=5 【鑑定】
CCB<=0 【addData1】
CCB<=0 【addData2】
CCB<=20 【運転】
CCB<=10 【機械修理】
CCB<=1 【重機械操作】
CCB<=5 【乗馬】
CCB<=20 【水泳】
CCB<=5 【製作】
CCB<=1 【操縦】
CCB<=20 【跳躍】
CCB<=10 【電気修理】
CCB<=10 【ナビゲート】
CCB<=5 【変装】
CCB<=0 【addData3】
CCB<=5 【言いくるめ】
CCB<=0 【信用】
CCB<=10 【説得】
CCB<=55 【母国語】
CCB<=15 【威圧】
CCB<=15 【魅惑】
CCB<=1 【言語】
CCB<=0 【addData4】
CCB<=1 【医学】
CCB<=5 【オカルト】
CCB<=0 【クトゥルフ神話】
CCB<=5 【芸術】
CCB<=5 【経理】
CCB<=1 【考古学】
CCB<=5 【コンピューター】
CCB<=1 【科学】
CCB<=10 【心理学】
CCB<=1 【人類学】
CCB<=1 【電子工学】
CCB<=10 【自然】
CCB<=5 【法律】
CCB<=5 【歴史】
CCB<=10 【サバイバル】
CCB<=0 【addData5】
1d3+0 【ダメージ判定】
1d4+0 【ダメージ判定】
1d6+0 【ダメージ判定】
CCB<={STR}　【STR】
CCB<={CON}　【CON】
CCB<={POW}　【POW】
CCB<={DEX}　【DEX】
CCB<={APP}　【APP】
CCB<={SIZ}　【SIZ】
CCB<={INT}　【INT】
CCB<={EDU}　【EDU】
